Week,Temperature,Rain,Snow,PM10,PM2.5,COVID19,Time,BusStop,BusNumber,people
0,12.8,0.1,0.0,12,8,0,4,82570,5,0
0,12.5,0.0,0.0,8,5,0,5,82570,5,0
0,12.1,0.0,0.0,0,10,0,6,82570,5,0
0,12.4,0.0,0.0,11,6,0,7,82570,5,0
0,12.6,1.0,0.0,0,14,0,8,82570,5,0
0,14.0,0.0,0.0,6,6,0,9,82570,5,0
0,16.1,0.0,0.0,6,6,0,10,82570,5,0
0,17.2,0.0,0.0,13,11,0,11,82570,5,0
0,18.6,0.0,0.0,21,7,0,12,82570,5,0
0,19.1,0.0,0.0,21,8,0,13,82570,5,0
0,18.9,0.0,0.0,24,6,0,14,82570,5,0
0,19.2,0.0,0.0,18,9,0,15,82570,5,0
0,18.4,0.0,0.0,16,9,0,16,82570,5,1
0,18.0,0.0,0.0,15,0,0,17,82570,5,1
0,15.8,0.3,0.0,12,0,0,18,82570,5,0
0,16.0,0.0,0.0,11,10,0,19,82570,5,0
0,15.8,0.0,0.0,15,5,0,20,82570,5,0
0,15.8,0.0,0.0,12,0,0,21,82570,5,0
0,15.7,0.0,0.0,10,0,0,22,82570,5,0
0,15.4,0.0,0.0,10,3,0,23,82570,5,0
0,14.8,0.0,0.0,10,3,0,0,82570,5,0
0,14.5,0.0,0.0,14,3,0,1,82570,5,0
0,14.0,0.0,0.0,12,5,0,2,82570,5,0
0,12.8,0.0,0.0,13,7,0,3,82570,5,0
1,12.4,0.0,0.0,16,11,0,4,82570,5,0
1,11.5,0.0,0.0,16,9,0,5,82570,5,0
1,11.0,0.0,0.0,14,11,0,6,82570,5,0
1,10.6,0.0,0.0,14,11,0,7,82570,5,0
1,12.7,0.0,0.0,14,0,0,8,82570,5,0
1,15.1,0.0,0.0,18,11,0,9,82570,5,2
1,17.2,0.0,0.0,18,15,0,10,82570,5,0
1,18.5,0.0,0.0,22,11,0,11,82570,5,0
1,20.0,0.0,0.0,24,10,0,12,82570,5,0
1,20.0,0.0,0.0,21,6,0,13,82570,5,0
1,21.1,0.0,0.0,0,9,0,14,82570,5,0
1,21.0,0.0,0.0,12,11,0,15,82570,5,0
1,22.0,0.0,0.0,20,14,0,16,82570,5,0
1,20.3,0.0,0.0,0,14,0,17,82570,5,0
1,18.5,0.0,0.0,0,19,0,18,82570,5,0
1,16.9,0.0,0.0,0,22,0,19,82570,5,0
1,15.7,0.0,0.0,21,20,0,20,82570,5,0
1,15.3,0.0,0.0,23,0,0,21,82570,5,0
1,14.6,0.0,0.0,20,0,0,22,82570,5,0
1,13.7,0.0,0.0,20,0,0,23,82570,5,0
1,12.9,0.0,0.0,25,23,0,0,82570,5,0
1,12.3,0.0,0.0,26,17,0,1,82570,5,0
1,11.8,0.0,0.0,17,13,0,2,82570,5,0
1,11.4,0.0,0.0,23,20,0,3,82570,5,0
2,10.9,0.0,0.0,22,0,0,4,82570,5,0
2,10.4,0.0,0.0,0,23,0,5,82570,5,0
2,10.2,0.0,0.0,0,15,0,6,82570,5,0
2,10.2,0.0,0.0,20,16,0,7,82570,5,0
2,11.6,0.0,0.0,16,0,0,8,82570,5,0
2,14.4,0.0,0.0,26,22,0,9,82570,5,0
2,17.4,0.0,0.0,24,21,0,10,82570,5,0
2,19.5,0.0,0.0,33,26,0,11,82570,5,0
2,20.5,0.0,0.0,41,26,0,12,82570,5,0
2,21.4,0.0,0.0,39,15,0,13,82570,5,1
2,22.2,0.0,0.0,29,10,0,14,82570,5,11
2,22.6,0.0,0.0,22,12,0,15,82570,5,0
2,22.5,0.0,0.0,25,14,0,16,82570,5,0
2,21.7,0.0,0.0,24,17,0,17,82570,5,0
2,19.9,0.0,0.0,22,21,0,18,82570,5,0
2,18.1,0.0,0.0,37,30,0,19,82570,5,0
2,16.6,0.0,0.0,31,27,0,20,82570,5,0
2,15.6,0.0,0.0,32,29,0,21,82570,5,0
2,14.6,0.0,0.0,0,29,0,22,82570,5,0
2,13.6,0.0,0.0,28,28,0,23,82570,5,0
2,13.1,0.0,0.0,24,22,0,0,82570,5,0
2,12.6,0.0,0.0,0,24,0,1,82570,5,0
2,12.8,0.0,0.0,0,26,0,2,82570,5,0
2,12.4,0.0,0.0,29,29,0,3,82570,5,0
